id,type,unit_id,title,release_date,now_available,coding,resources,files,overview,section_overview,doi,total_time,playlist,section_id,section_title,section_img,section_time,cc,google_community
16,U,11,Using Plotviz Software for Displaying Point Distributions in 3D,Available Now,True,,,<ul><li><a href='/assets/files/unit_11/fungi_LSU_3(15)_to_3(26)_zeroidx.pviz' target='_blank'>fungi_LSU_3_15_to_3_26_zeroidx.pviz</a></li><li><a href='/assets/files/unit_11/DatingRating-OriginalLabels.pviz' target='_blank'>DatingRating-OriginalLabels.pviz</a></li><li><a href='/assets/files/unit_11/clusterFinal-M30-C28.pviz' target='_blank'>clusterFinal-M30-C28.pviz</a></li><li><a href='/assets/files/unit_11/clusterFinal-M3-C3Dating-ReClustered.pviz' target='_blank'>clusterFinal-M3-C3Dating-ReClustered.pviz</a></li></ul>,"<p>Geoffrey introduces Plotviz, a data visualization tool developed at Indiana University to display 2 and 3 dimensional data. The motivation is that the human eye is very good at pattern recognition and can ''see'' structure in data. Although most Big data is higher dimensional than 3, all can be transformed by dimension reduction techniques to 3D. He gives several examples to show how the software can be used and what kind of data can be visualized. This includes individual plots and the manipulation of multiple synchronized plots. Finally, he describes the download and software dependency of Plotviz.</p>","<p>Geoffrey introduces Plotviz, a data visualization tool developed at Indiana University to display 2 and 3 dimensional data. The motivation is that the human eye is very good at pattern recognition and can ''see'' structure in data. Although most Big data is higher dimensional than 3, all can be transformed by dimension reduction techniques to 3D. He gives several examples to show how the software can be used and what kind of data can be visualized. This includes individual plots and the manipulation of multiple synchronized plots.Finally, he describes the download and software dependency of Plotviz.</p>",XIBD1_PlotViz_1v1,1h,PLy0VLh_GFyz8RuxPYl5cuZObDBSF4ZwDU,5,Technology Training,plotviz.jpg,1h,,969b0092-2af3-4185-a391-ba5d9d4d8156
17,U,12,I: Recommender Systems: Introduction,Available Now,True,,<ul><li><a href='http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial' target='_blank'>http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial</a></li><li><a href='http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf' target='_blank'>http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf</a></li><li><a href='http://www.kaggle.com' target='_blank'>http://www.kaggle.com</a></li><li><a href='http://www.ics.uci.edu/~welling/teaching/CS77Bwinter12/CS77B_w12.html' target='_blank'>http://www.ics.uci.edu/~welling/teaching/CS77Bwinter12/CS77B_w12.html</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://news.techworld.com/applications/3437514/netflix-foretells-house-of-cards-success-with-cassandra-big-data-engine/' target='_blank'>http://news.techworld.com/applications/3437514/netflix-foretells-house-of-cards-success-with-cassandra-big-data-engine/</a></li><li><a href='http://en.wikipedia.org/wiki/A/B_testing' target='_blank'>http://en.wikipedia.org/wiki/A/B_testing</a></li></ul>,,"<p>Geoffrey introduces Recommender systems as an optimization technology used in a variety of applications and contexts online. They operate in the background of such widely recognized sites as Amazon, eBay, Monster and Netflix where everything is a recommendation. This involves a symbiotic relationship between vendor and buyer whereby the buyer provides the vendor with information about their preferences, while the vendor then offers recommendations tailored to match their needs, to the benefit of both.</p><p>There follows an exploration of the Kaggle competition site, other recommender systems and Netflix, as well as competitions held to improve the success of the Netflix recommender system. Finally attention is paid to models that are used to compare how changes to the systems affect their overall performance. Geoffrey muses how the humble ranking has become such a dominant driver of the world's economy.</p>","<p>Recommender systems operate under the hood of such widely recognized sites as Amazon, eBay, Monster and Netflix where everything is a recommendation. This involves a symbiotic relationship between vendor and buyer whereby the buyer provides the vendor with information about their preferences, while the vendor then offers recommendations tailored to match their needs. Kaggle competitions h improve the success of the Netflix and other recommender systems. Attention is paid to models that are used to compare how changes to the systems affect their overall performance. Geoffrey muses how the humble ranking has become such a dominant driver of the world's economy. More examples of recommender systems are given from Google News, Retail stores and in depth Yahoo! covering the multi-faceted criteria used in deciding recommendations on web sites. The formulation of recommendations in terms of points in a space or bag is given where bags of item properties, user properties, rankings and users are useful. Detail is given on basic principles behind recommender systems: user-based collaborative filtering, which uses similarities in user rankings to predict their interests, and the Pearson correlation, used to statistically quantify correlations between users viewed as points in a space of items. Items are viewed as points in a space of users in item-based collaborative filtering. The Cosine Similarity is introduced, the difference between implicit and explicit ratings and the k Nearest Neighbors algorithm. General features like the curse of dimensionality in high dimensions are discussed. A simple Python k Nearest Neighbor code and its application to an artificial data set in 3 dimensions is given. Results are visualized in Matplotlib in 2D and with Plotviz in 3D. The concept of a training and a testing set are introduced with training set pre labeled. Recommender system are used to discuss clustering with k-means based clustering methods used and their results examined in Plotviz. The original labelling is compared to clustering results and extension to 28 clusters given. General issues in clustering are discussed including local optima, the use of annealing to avoid this and value of heuristic algorithms.</p>",XIBD1_eCom_1v1,48min,PLy0VLh_GFyz8NFZO0rAxl60uHCu_kHo0U,6,X= e-Commerce and LifeStyle Case Study,Ecommerce.jpg,3h 39min,,97fbfb75-fc43-4c24-98d0-f8ec91c00b68
18,U,13,II: Recommender Systems: Examples and Algorithms,Available Now,True,,<ul><li><a href='http://isi2011.congressplanner.eu/pdfs/p_450457.pdf' target='_blank'>http://isi2011.congressplanner.eu/pdfs/p_450457.pdf</a></li><li><a href='http://pages.cs.wisc.edu/~beechung/icml11-tutorial/' target='_blank'>http://pages.cs.wisc.edu/~beechung/icml11-tutorial/</a></li></ul>,,"<p>Geoffrey continues the discussion of recommender systems and their use in e-commerce. More examples are given from Google News, Retail stores and in depth Yahoo! covering the multi-faceted criteria used in deciding recommendations on web sites. Then the formulation of recommendations in terms of points in a space or bag is given.</p><p>Here bags of item properties, user properties, rankings and users are useful. Then we go into detail on basic principles behind recommender systems: user-based collaborative filtering, which uses similarities in user rankings to predict their interests, and the Pearson correlation, used to statistically quantify correlations between users viewed as points in a space of items.</p>",,XIBD1_eCom_2v1,57min,PLy0VLh_GFyz-YPLJK4M5w3NzX602-QkTH,6,X= e-Commerce and LifeStyle Case Study,,,,97fbfb75-fc43-4c24-98d0-f8ec91c00b68
19,U,14,III: Item-based Collaborative Filtering and its Technologies,Available Now,True,,,,"<p>Geoffrey moves on to item-based collaborative filtering where items are viewed as points in a space of users. The Cosine Similarity is introduced, the difference between implicit and explicit ratings and the k Nearest Neighbors algorithm. General features like the curse of dimensionality in high dimensions are discussed</p>",,XIBD1_eCom_3v1,31min,PLy0VLh_GFyz-qd-Yb1qGtdFEXbwwnrM-o,6,X= e-Commerce and LifeStyle Case Study,,,,97fbfb75-fc43-4c24-98d0-f8ec91c00b68
20,U,15,IV: Technologies - k Nearest Neighbor Algorithm(Python Track),Available Now,True,Python,,<ul><li><a href=/assets/files/unit_15/kNNDriver.py target=_blank>kNNDriver.py</a></li><li><a href=/assets/files/unit_15/kNN.py target=_blank>kNN.py</a></li><li><a href=/assets/files/unit_15/datingTestSet2.txt target=_blank>datingTestSet2.txt</a></li><li><a href=/assets/files/unit_15/clusterFinal-M3-C3Dating-ReClustered.pviz target=_blank>clusterFinal-M3-C3Dating-ReClustered.pviz</a></li><li><a href=/assets/files/unit_15/DatingRating-OriginalLabels.pviz target=_blank>DatingRating-OriginalLabels.pviz</a></li><li><a href=/assets/files/unit_15/clusterFinal-M30-C28.pviz target=_blank>clusterFinal-M30-C28.pviz</a></li></ul>,<p>Geoffrey discusses a simple Python k Nearest Neighbor code and its application to an artificial data set in 3 dimensions. Results are visualized in Matplotlib in 2D and with Plotviz in 3D. The concept of training and testing sets are introduced with training set pre-labelled.</p>,,XIBD1_eCom_4v1,33min,PLy0VLh_GFyz9GpA6hNGBQxJ9GNS6nNzJr,6,X= e-Commerce and LifeStyle Case Study,,,,97fbfb75-fc43-4c24-98d0-f8ec91c00b68
21,U,16,V: Technologies - Clustering,Available Now,True,,<ul><li><a href='http://en.wikipedia.org/wiki/Kmeans' target='_blank'>http://en.wikipedia.org/wiki/Kmeans</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf</a></li><li><a href='http://salsahpc.indiana.edu/millionseq/' target='_blank'>http://salsahpc.indiana.edu/millionseq/</a></li><li><a href='http://salsafungiphy.blogspot.com/' target='_blank'>http://salsafungiphy.blogspot.com/</a></li><li><a href='http://en.wikipedia.org/wiki/Heuristics' target='_blank'>http://en.wikipedia.org/wiki/Heuristics</a></li></ul>,,"<p>Geoffrey uses example of recommender system to discuss clustering. The details of methods are not discussed but k-means based clustering methods are used and their results examined in Plotviz. The original labelling is compared to clustering results and extension to 28 clusters given. General issues in clustering are discussed including local optima, the use of annealing to avoid this and value of heuristic algorithms.</p>",,XIBD1_eCom_5v1,50min,PLy0VLh_GFyz9SR0zgEgdVnEXE5K0F47d8,6,X= e-Commerce and LifeStyle Case Study,,,,97fbfb75-fc43-4c24-98d0-f8ec91c00b68
22,A,Peer_review_Homework_6.1,Section 6 Homework 1,,True,,,,,,,,,6,Peer Reviewed Homework,,,,
23,A,Peer_review_Mid,Mid Assessment,,True,,,,,,,,,,Mid-Term Assessment,,,,
24,U,17,Parallel Computing: Overview of Basic Principles with familiar Examples,Available Now,True,,"<ul><li><i>Solving Problems in Concurrent Processors-Volume 1</i>, with M. Johnson, G. Lyzenga, S. Otto, J. Salmon, D. Walker, Prentice Hall, March 1988</li><li><i>Parallel Computing Works!</i>, with P. Messina, R. Williams, Morgan Kaufman (1994). http://www.netlib.org/utk/lsi/pcwLSI/text/</li><li><i>The Sourcebook of Parallel Computing book</i> edited by Jack Dongarra, Ian Foster, Geoffrey Fox, William Gropp, Ken Kennedy, Linda Torczon, and Andy White, Morgan Kaufmann, November 2002</li><li>Geoffrey Fox Computational Sciences and Parallelism to appear in Enclyclopedia on Parallel Computing edited by David Padua and published by Springer. <a href='http://grids.ucs.indiana.edu/ptliupages/publications/SpringerEncyclopedia_Fox.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/SpringerEncyclopedia_Fox.pdf</a></li></ul>",,"<p>Geoffrey describes the central role of Parallel computing in Clouds and Big Data which is decomposed into lots of ''Little data'' running in individual cores. Many examples are given and it is stressed that issues in parallel computing are seen in day to day life for communication, synchronization, load balancing and decomposition.</p>","<p>Geoffrey describes the central role of Parallel computing in Clouds and Big Data which is decomposed into lots of ''Little data'' running in individual cores. Many examples are given and it is stressed that issues in parallel computing are seen in day to day life for communication, synchronization, load balancing and decomposition. Cyberinfrastructure for e-moreorlessanything or moreorlessanything-Informatics and the basics of cloud computing are introduced. This includes virtualization and the important ''as a Service'' components and we go through several different definitions of cloud computing. Gartner's Technology Landscape includes hype cycle and priority matrix and covers clouds and Big Data. Two simple examples of the value of clouds for enterprise applications are given with a review of different views as to nature of Cloud Computing. This IaaS (Infrastructure as a Service) discussion is followed by PaaS and SaaS (Platform and Software as a Service). Features in Grid and cloud computing and data are treated. Cloud (Data Center) Architectures with physical setup, Green Computing issues and software models are discussed followed by the Cloud Industry stakeholders and applications on the cloud including data intensive problems and comparison with high performance computing. Remarks on Security, Fault Tolerance and Synchronicity issues in cloud follow. The Big Data Processing from an application perspective with commercial examples including eBay concludes section.</p>",XIBD1_ParComp_1v1,57min,PLy0VLh_GFyz9c3S7Sn4aZQwzPQe7e5BC_,7,Infrastructure and Technologies for Big Data X-Informatics,DataCenter.jpg,3h 46min,,e22e4329-b7aa-4ace-beea-8591d9c7db03
25,U,18,X-Informatics Cloud Technology Part I: Introduction,Available Now,True,,<ul><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.gartner.com/technology/home.jsp and many web links' target='_blank'>http://www.gartner.com/technology/home.jsp and many web links</a></li><li><a href='http://setandbma.wordpress.com/2012/08/10/hype-cycle-2012-emerging-technologies/' target='_blank'>http://setandbma.wordpress.com/2012/08/10/hype-cycle-2012-emerging-technologies/</a></li><li><a href='http://slashdot.org/topic/bi/big-data-hype-is-imploding-gartner-analyst' target='_blank'>http://slashdot.org/topic/bi/big-data-hype-is-imploding-gartner-analyst</a></li><li><a href='http://research.microsoft.com/pubs/78813/AJ18_EN.pdf' target='_blank'>http://research.microsoft.com/pubs/78813/AJ18_EN.pdf</a></li><li><a href='http://www.google.com/green/pdfs/google-green-computing.pdf' target='_blank'>http://www.google.com/green/pdfs/google-green-computing.pdf</a></li></ul>,,<p>Geoffrey discusses Cyberinfrastructure for e-moreorlessanything or moreorlessanything-Informatics and the basics of cloud computing. This includes virtualization and the important ''as a Service'' components and we go through several different definitions of cloud computing.</p><p>Gartner's Technology Landscape includes hype cycle and priority matrix and covers clouds and Big Data. Geoffrey reviews the nature of 48 technologies in 2012 emerging technology hype cycle. Gartner has specific predictions for cloud computing growth areas. The unit concludes with two simple examples of the value of clouds for enterprise applications.</p>,,XIBD1_Cloud_1v1,52min,PLy0VLh_GFyz-pGX7m3eLBa9k1d5ZlucPu,7,Infrastructure and Technologies for Big Data X-Informatics,,,,e22e4329-b7aa-4ace-beea-8591d9c7db03
26,U,19,X-Informatics Cloud Technology Part II: Introduction,Available Now,True,,<ul><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus' target='_blank'>http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus</a></li><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://cloudonomic.blogspot.com/2009/02/cloud-taxonomy-and-ontology.html' target='_blank'>http://cloudonomic.blogspot.com/2009/02/cloud-taxonomy-and-ontology.html</a></li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski <a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon' target='_blank'>http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/fs2009/presentations/barga_roger_cloudcomputingplatform.pptx' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/fs2009/presentations/barga_roger_cloudcomputingplatform.pptx</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf</a></li></ul>,,<p>Geoffrey covers different views as to nature of Cloud Computing. This IaaS (Infrastructure as a Service) discussion is followed by PaaS and SaaS (Platform and Software as a Service). The unit discusses features introduced in Grid computing and features introduced by clouds. The unit concludes with the treatment of data in the cloud from an architecture perspective.</p>,,XIBD1_Cloud_2v1,51min,PLy0VLh_GFyz_iqHvjVtSvC4i1Rpc3pnoy,7,Infrastructure and Technologies for Big Data X-Informatics,,,,e22e4329-b7aa-4ace-beea-8591d9c7db03
27,U,20,X-Informatics Cloud Technology Part III: Introduction,Available Now,True,,"<ul><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://www.eweek.com/c/a/Cloud-Computing/AWS-Innovation-Means-Cloud-Domination-307831/' target='_blank'>http://www.eweek.com/c/a/Cloud-Computing/AWS-Innovation-Means-Cloud-Domination-307831/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski <a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf</a></li><li><a href='http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/' target='_blank'>http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/</a></li><li><a href='http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/' target='_blank'>http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/</a></li><li><a href='http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf' target='_blank'>http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf</a></li><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus' target='_blank'>http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus</a></li><li><a href='http://www.venus-c.eu/Pages/Home.aspx' target='_blank'>http://www.venus-c.eu/Pages/Home.aspx</a></li><li>Geoffrey Fox and Dennis Gannon Using Clouds for Technical Computing To be published in Proceedings of HPC 2012 Conference at Cetraro, Italy June 28 2012 <a href='http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf</a></li><li><a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf</a></li><li>Taming The Big Data Tidal Wave: Finding Opportunities in Huge Data Streams with Advanced Analytics, Bill Franks Wiley ISBN: 978-1-118-20878-6</li><li>Anjul Bhambhri, VP of Big Data, IBM <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Conquering Big Data with the Oracle Information Model, Helen Sun, Oracle <a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Hugh Williams VP Experience, Search & Platforms, eBay <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/Williams.pdf' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/Williams.pdf</a></li></ul>",,"<p>Geoffrey opens up with a discussion of Cloud (Data Center) Architectures with physical setup, Green Computing issues and software models. A discussion of Cloud Industry stakeholders is followed by applications on the cloud including data intensive problems and comparison with high performance computing. Remarks on Security, Fault Tolerance and Synchronicity issues in cloud follow. The Big Data Processing from an application perspective with commercial examples including eBay concludes unit.</p>",,XIBD1_Cloud_3v1,1h 6min,PLy0VLh_GFyz_Y1uzqmuDlh5BH8W4_SBgM,7,Infrastructure and Technologies for Big Data X-Informatics,,,,e22e4329-b7aa-4ace-beea-8591d9c7db03
28,A,Peer_review_Homework_7.1,Section 7 Homework 1,,True,,,,,,,,,7,Peer Reviewed Homework,,,,
29,A,Peer_review_Homework_7.2,Section 7 Homework 2,,True,,,,,,,,,7,Peer Reviewed Homework,,,,
30,U,21,X-Informatics Web Search and Text Mining I,Available Now,True,,"<ul><li><a href='http://saedsayad.com/data_mining_map.htm' target='_blank'>http://saedsayad.com/data_mining_map.htm</a></li><li><a href='http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html' target='_blank'>http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html</a></li><li>The Web Graph: an Overview Jean-Loup Guillaume and Matthieu Latapy <a href='http://hal.archives-ouvertes.fr/docs/00/05/44/58/PDF/webgraph.pdf' target='_blank'>http://hal.archives-ouvertes.fr/docs/00/05/44/58/PDF/webgraph.pdf</a></li><li>Constructing a reliable Web graph with information on browsing behavior, Yiqun Liu, Yufei Xue, Danqing Xu, Rongwei Cen, Min Zhang, Shaoping Ma, Liyun Ru <a href='http://www.sciencedirect.com/science/article/pii/S0167923612001844' target='_blank'>http://www.sciencedirect.com/science/article/pii/S0167923612001844</a></li><li><a href='http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws' target='_blank'>http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws</a></li></ul>",,"<p>Geoffrey starts this unit with an overview of data mining and noting our study of classification, clustering and exploration methods. We examine the problem to be solved in web and text search and note the relevance of history with libraries, catalogs and concordances. An overview of web search is given describing the continued evolution of search engines and the relation to the field of Information Retrieval.</p><p>The importance of recall, precision and diversity is discussed. The important Bag of Words model is introduced and both Boolean queries and the more general fuzzy indices. The important vector space model and revisiting the Cosinne Similarity as a distance in this bag follows. The basic TF-IDF approach is discussed. Relevance is discussed with a probabilistic model while the distinction between Bayesian and frequency views of probability distribution completes this unit.</p>","<p>This section starts with an overview of data mining and puts our study of classification, clustering and exploration methods in context. We examine the problem to be solved in web and text search and note the relevance of history with libraries, catalogs and concordances. An overview of web search is given describing the continued evolution of search engines and the relation to the field of Information Retrieval. The importance of recall, precision and diversity is discussed. The important Bag of Words model is introduced and both Boolean queries and the more general fuzzy indices. The important vector space model and revisiting the Cosine Similarity as a distance in this bag follows. The basic TF-IDF approach is dis cussed. Relevance is discussed with a probabilistic model while the distinction between Bayesian and frequency views of probability distribution completes this unit. Geoffrey starts with an overview of the different steps (data analytics) in web search and then goes key steps in detail starting with document preparation. An inverted index is described and then how it is prepared for web search. The Boolean and Vector Space approach to query processing follow. This is followed by Link Structure Analysis including Hubs, Authorities and PageRank. The application of PageRank ideas as reputation outside web search is covered. The web graph structure, crawling it and issues in web advertising and search follow. The use of clustering and topic models completes section.</p>",XIBD1_WebIR_1v1,1h 37min,PLy0VLh_GFyz9PysPow9c27Y9FHmUQu-_Y,8,X= Web Search Informatics,WebSearch.jpg,3h,,c59b8cb2-ddc6-48b0-88ea-222aa094385e
31,U,22,X-Informatics Web Search and Text Mining II,Available Now,True,,<ul><li><a href='http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws' target='_blank'>http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws</a></li><li><a href='http://en.wikipedia.org/wiki/PageRank' target='_blank'>http://en.wikipedia.org/wiki/PageRank</a></li><li><a href='http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html' target='_blank'>http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html</a></li><li>Meeker/Wu May 29 2013 Internet Trends D11 Conference <a href='http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013' target='_blank'>http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013</a></li></ul>,,"<p>Geoffrey starts with an overview of the different steps (data analytics) in web search and then goes key steps in detail starting with document preparation. An inverted index is described and then how it is prepared for web search. The Boolean and Vector Space approach to query processing follow.</p><p>This is followed by Link Structure Analysis including Hubs, Authorities and PageRank. The application of PageRank ideas as reputation outside web search is covered. The web graph structure, crawling it and issues in web advertising and search follow. The use of clustering and topic models completes unit.</p>",,XIBD1_WebIR_2v1,1h 23min,PLy0VLh_GFyz9byQ6UtKhC2LGfRYix40JE,8,X= Web Search Informatics,,,,c59b8cb2-ddc6-48b0-88ea-222aa094385e
32,A,Peer_review_Homework_8.1,Section 8 Homework 1,,True,,,,,,,,,8,Peer Reviewed Homework,,,,
33,A,Peer_review_Homework_8.2,Section 8 Homework 2,,True,,,,,,,,,8,Peer Reviewed Homework,,,,
